quote,author,tags
"“he has achieved success who has lived well, laughed often, and loved much;who has enjoyed the trust of pure women, the respect of intelligent men and the love of little children;who has filled his niche and accomplished his task;who has never lacked appreciation of earth's beauty or failed to express it;who has left the world better than he found it,whether an improved poppy, a perfect poem, or a rescued soul;who has always looked for the best in others and given them the best he had;whose life was an inspiration;whose memory a benediction.”","Bessie Anderson Stanley,",['general']
"“you may say i'm a dreamer, but i'm not the only one. i hope someday you'll join us. and the world will live as one.”",John Lennon,['general']
“i've been making a list of the things they don't teach you at school. they don't teach you how to love somebody. they don't teach you how to be famous. they don't teach you how to be rich or how to be poor. they don't teach you how to walk away from someone you don't love any longer. they don't teach you how to know what's going on in someone else's mind. they don't teach you what to say to someone who's dying. they don't teach you anything worth knowing.”,"Neil Gaiman,",['general']
“â€²classicâ€² - a book which people praise and don't read.”,Mark Twain,['general']
“i love mankind ... it's people i can't stand!!”,Charles M. Schulz,['general']
“you donâ€™t forget the face of the person who was your last hope.”,"Suzanne Collins,",['general']
“i am free of all prejudice. i hate everyone equally. ”,W.C. Fields,['general']
“finish each day and be done with it. you have done what you could. some blunders and absurdities no doubt crept in; forget them as soon as you can. tomorrow is a new day. you shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,Ralph Waldo Emerson,['general']
“i have never let my schooling interfere with my education.”,Mark Twain,['general']
“the books that the world calls immoral are books that show the world its own shame.”,"Oscar Wilde,",['general']
“the marks humans leave are too often scars.”,"John Green,",['general']
“you never really understand a person until you consider things from his point of view... until you climb inside of his skin and walk around in it.”,"Harper Lee,",['general']
"“remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”","Suzanne Collins,",['general']
"“a lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”","Jane Austen,",['general']
“to die will be an awfully big adventure.”,"J.M. Barrie,",['general']
"“our deepest fear is not that we are inadequate. our deepest fear is that we are powerful beyond measure. it is our light, not our darkness that most frightens us. we ask ourselves, 'who am i to be brilliant, gorgeous, talented, fabulous?' actually, who are you not to be? you are a child of god. your playing small does not serve the world. there is nothing enlightened about shrinking so that other people won't feel insecure around you. we are all meant to shine, as children do. we were born to make manifest the glory of god that is within us. it's not just in some of us; it's in everyone. and as we let our own light shine, we unconsciously give other people permission to do the same. as we are liberated from our own fear, our presence automatically liberates others.”","Marianne Williamson,",['general']
“anyone who has never made a mistake has never tried anything new.”,Albert Einstein,['general']
“some day you will be old enough to start reading fairy tales again.”,C.S. Lewis,['general']
"“we are what we pretend to be, so we must be careful about what we pretend to be.”","Kurt Vonnegut,",['general']
“it takes courage to grow up and become who you really are.”,E.E. Cummings,['general']
"“itâ€™s no use going back to yesterday, because i was a different person then.”",Lewis Carroll,['general']
"“and in that moment, i swear we were infinite.”","Stephen Chbosky,",['general']
“books are a uniquely portable magic.”,"Stephen King,",['general']
"“you have to write the book that wants to be written. and if the book will be too difficult for grown-ups, then you write it for children.”",Madeleine L'Engle,['general']
"“i'm the one that's got to die when it's time for me to die, so let me live my life the way i want to.”","Jimi Hendrix,",['general']
"“i can never read all the books i want; i can never be all the people i want and live all the lives i want. i can never train myself in all the skills i want. and why do i want? i want to live and feel all the shades, tones and variations of mental and physical experience possible in my life. and i am horribly limited.”","Sylvia Plath,",['general']
“but better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini,['general']
“books are the ultimate dumpees: put them down and theyâ€™ll wait for you forever; pay attention to them and they always love you back.”,"John Green,",['general']
"“we believe in ordinary acts of bravery, in the courage that drives one person to stand up for another.”","Veronica Roth,",['general']
"“there is nothing better than a friend, unless it is a friend with chocolate.”",Linda Grayson,['general']
"“so it's not gonna be easy. it's going to be really hard; we're gonna have to work at this everyday, but i want to do that because i want you. i want all of you, forever, everyday. you and me... everyday.”","Nicholas Sparks,",['general']
“the truth is rarely pure and never simple.”,"Oscar Wilde,",['general']
"“there are infinite numbers between 0 and 1. there's .1 and .12 and .112 and an infinite collection of others. of course, there is a bigger infinite set of numbers between 0 and 2, or between 0 and a million. some infinities are bigger than other infinities. a writer we used to like taught us that. there are days, many of them, when i resent the size of my unbounded set. i want more numbers than i'm likely to get, and god, i want more numbers for augustus waters than he got. but, gus, my love, i cannot tell you how thankful i am for our little infinity. i wouldn't trade it for the world. you gave me a forever within the numbered days, and i'm grateful.”","John Green,",['general']
"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”","George R.R. Martin,",['general']
"“the truth."" dumbledore sighed. ""it is a beautiful and terrible thing, and should therefore be treated with great caution.”","J.K. Rowling,",['general']
"“i believe in christianity as i believe that the sun has risen: not only because i see it, but because by it i see everything else.”",C.S. Lewis,['general']
“the fear of death follows from the fear of life. a man who lives fully is prepared to die at any time.”,Mark Twain,['general']
"“remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of lord voldemort. remember cedric diggory.”","J.K. Rowling,",['general']
“memories warm you up from the inside. but they also tear you apart.”,"Haruki Murakami,",['general']
“a lie can travel half way around the world while the truth is putting on its shoes.”,Mark Twain,['general']
“never tell the truth to people who are not worthy of it.”,Mark Twain,['general']
“be nice to nerds. you may end up working for them. we all could.”,"Charles J. Sykes,",['general']
"“just when you think it can't get any worse, it can. and just when you think it can't get any better, it can.”","Nicholas Sparks,",['general']
